result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff
Replication data for: Opposition Parties and the Timing of Successful No-Confidence Motions,doi:10.7910/DVN/28458,"Williams, Laron K.",Political Science Research and Methods (PSRM) Dataverse,Opposition parties and the timing of successful no-confidence motions,10.1017/psrm.2015.12,0
Oil Income and the Personalization of Autocratic Politics,doi:10.7910/DVN/0KL6JK,"Fails, Matthew",Political Science Research and Methods (PSRM) Dataverse,Oil income and the personalization of autocratic politics,10.1017/psrm.2019.14,0
"Replication Data for: Relative Poverty, Perceived Violence, and Support for Militant Politics: Evidence from Pakistan",doi:10.7910/DVN/ENFMZY,"c(""Fair, C. Christine"", ""Littman, Rebecca"", ""Malhotra, Neil"", ""Shapiro, Jacob N."")",Political Science Research and Methods (PSRM) Dataverse,"Relative poverty, perceived violence, and support for militant politics: evidence from pakistan",10.1017/psrm.2016.6,0
Replication Data for: The Effects of Government System Fractionalization on Satisfaction with Democracy,doi:10.7910/DVN/EU541C,"c(""Christmann, Pablo"", ""Torcal, Mariano"")",Political Science Research and Methods (PSRM) Dataverse,The effects of government system fractionalization on satisfaction with democracy,10.1017/psrm.2017.23,0
Replication Data for: The Number of Choice Tasks and Survey Satisficing in Conjoint Experiments,doi:10.7910/DVN/TLPMVI,"c(""Bansak, Kirk"", ""Hainmueller, Jens"", ""Hopkins, Daniel J."", ""Yamamoto, Teppei"")",Political Analysis Dataverse,Beyond the breaking point? Survey satisficing in conjoint experiments,10.1017/psrm.2019.13,0.215765165730583
Replication Data for: Political Cultures: Measuring Values Heterogeneity,doi:10.7910/DVN/UAPATT,"c(""Grimmer, Justin"", ""Blaydes, Lisa"")",Political Science Research and Methods (PSRM) Dataverse,Political cultures: measuring values heterogeneity,10.1017/psrm.2019.43,0
Replication Data for: Measuring Networks in the Field,doi:10.7910/DVN/THCWHJ,"Larson, Jennifer",Political Science Research and Methods (PSRM) Dataverse,Measuring networks in the field,10.1017/psrm.2019.5,0
"Replication Data for Omitted Variables, Countervailing Effects, and The Possibility of Overadjustment",doi:10.7910/DVN/BSKHUF,"c(""Clarke, Kevin"", ""Kenkel, Brenton "", ""Rueda, Miguel"")",Political Science Research and Methods (PSRM) Dataverse,"Omitted variables, countervailing effects, and the possibility of overadjustment",10.1017/psrm.2016.46,0.235973597359736
Replication data for: Voting Made Safe and Easy: The Impact of e-voting on Citizen Perceptions,doi:10.7910/DVN/24896,"c(""Alvarez, R. Michael"", ""Levin, Ines"", ""Pomares, Julia"", ""Leiras, Marcelo"")",Political Science Research and Methods (PSRM) Dataverse,Voting made safe and easy: the impact of e-voting on citizen perceptions,10.1017/psrm.2013.2,0
Replication data for: Testing Core Predictions of Spatial Models: Platform Moderation and Challenger Success,doi:10.7910/DVN/26681,"Montagnes, B. Pablo, and Jon C. Rogowski",Political Science Research and Methods (PSRM) Dataverse,Testing core predictions of spatial models: platform moderation and challenger success,10.1017/psrm.2014.36,0
"Geography, Uncertainty, and Polarization",doi:10.7910/DVN/Z7H44N,"c(""McCarty, Nolan"", ""Rodden, Jonathan"", ""Shor, Boris"", ""Tausanovitch, Chris"", ""Warshaw, Christopher"")",Political Science Research and Methods (PSRM) Dataverse,"Geography, uncertainty, and polarization",10.1017/psrm.2018.12,0
Replication Data for: The Sensitivity of Sensitivity Analysis,doi:10.7910/DVN/PBEOJZ,"c(""Pluemper, Thomas"", ""Traunmueller, Richard"")",Political Science Research and Methods (PSRM) Dataverse,The sensitivity of sensitivity analysis,10.1017/psrm.2018.30,0
Replication Data for: Causal Modeling with Multi-Value and Fuzzy-Set Coincidence Analysis,doi:10.7910/DVN/YIEAF1,"c(""Baumgartner, Michael"", ""Amb�hl, Mathias"")",Political Science Research and Methods (PSRM) Dataverse,Causal modeling with multi-value and fuzzy-set coincidence analysis,10.1017/psrm.2018.45,0
Replication data for: Dynamic Patterns of Human Rights Practices,doi:10.7910/DVN/1X1ZZ2,"c(""Keith E. Schnakenberg"", ""Christopher J. Fariss"")",Human Rights Scores Dataverse,Dynamic patterns of human rights practices,10.1017/psrm.2013.15,0
"Replication Data for: ""Corpus-Based Dictionaries for Sentiment Analysis of Specialized Vocabularies""",doi:10.7910/DVN/4EKHFM,"c(""Rice, Douglas"", ""Zorn, Christopher"")",Political Science Research and Methods (PSRM) Dataverse,Corpus-based dictionaries for sentiment analysis of specialized vocabularies,10.1017/psrm.2019.10,0.00854700854700852
Replication Data for: How to survey about electoral turnout? The efficacy of the face-saving response items in 19 different contexts,doi:10.7910/DVN/B0NY7Y,"c(""Morin-Chass�, Alexandre"", ""Bol, Damien"", ""Stephenson, Laura"", ""Labb� St-Vincent, Simon"")",Political Science Research and Methods (PSRM) Dataverse,How to survey about electoral turnout? The efficacy of the face-saving response items in 19 different contexts,10.1017/psrm.2016.31,0
Replication Data for: Spatial Tools for Case Selection: Using LISA Statistics to Design Mixed-Methods Research,doi:10.7910/DVN/NNJXDY,"c(""Ingram, Matthew"", ""Harbers, Imke"")",Political Science Research and Methods (PSRM) Dataverse,Spatial tools for case selection: using lisa statistics to design mixed-methods research,10.1017/psrm.2019.3,0
Replication data for: Voting in a Multidimensional Space: A Conjoint Analysis Employing Valence and Ideology Attributes of Candidates,doi:10.7910/DVN/26639,"c(""Franchino, Fabio"", ""Zucchini, Francesco"")",Political Science Research and Methods (PSRM) Dataverse,Voting in a multi-dimensional space: a conjoint analysis employing valence and ideology attributes of candidates,10.1017/psrm.2014.24,0.00297619047619047
Replication Data for: Parties Are No Civic Charities: Voter Contact and the Changing Partisan Composition of the Electorate,doi:10.7910/DVN/EWISS3,"c(""Foos, Florian"", ""John, Peter"")",Political Science Research and Methods (PSRM) Dataverse,Parties are no civic charities: voter contact and the changing partisan composition of the electorate,10.1017/psrm.2016.48,0
"Replication data for: Political Depolarization in German Public Opinion, 1980–2010",doi:10.7910/DVN/EVLM9Q,"c(""Munzert, Simon"", ""Bauer, Paul C"")",Political Science Research and Methods (PSRM) Dataverse,"Political depolarization in german public opinion, 1980–2010",10.1017/psrm.2013.7,0
"Replication Data for: Politically Unengaged, Distrusting, and Disaffected Individuals Drive the Link Between Compulsory Voting and Invalid Balloting",doi:10.7910/DVN/FMZQMR,"Singh, Shane",Political Science Research and Methods (PSRM) Dataverse,"Politically unengaged, distrusting, and disaffected individuals drive the link between compulsory voting and invalid balloting",10.1017/psrm.2017.11,0
Replication Data for: Compression and Conditional Effects,doi:10.7910/DVN/ASSC0Y,"Rainey, Carlisle",Political Science Research and Methods (PSRM) Dataverse,Compression and conditional effects: a product term is essential when using logistic regression to test for interaction,10.1017/psrm.2015.59,0.235294117647059
Replication Data for Does Information Lead to Emulation? Spatial Dependence in Anti-Government Violence,doi:10.7910/DVN/CTRV5Z,"Wimpy, Cameron ",Political Science Research and Methods (PSRM) Dataverse,Does information lead to emulation? Spatial dependence in anti-government violence,10.1017/psrm.2014.18,0.214302628463178
Replication Data for: Women's Issues and Their Fates in the United States Congress,doi:10.7910/DVN/B1TZNE,"c(""Wiseman, Alan E."", ""Volden, Craig"", ""Wittmer, Dana E."")",Political Science Research and Methods (PSRM) Dataverse,Women's issues and their fates in the us congress,10.1017/psrm.2016.32,0.0917233560090702
Replication data for Measuring Emotional Response: Comparing Alternative Approaches to Measurement,doi:10.7910/DVN/OZ0MNZ,"Marcus, George",Political Science Research and Methods (PSRM) Dataverse,Measuring emotional response: comparing alternative approaches to measurement,10.1017/psrm.2015.65,0.225108225108225
Replication Data for: Using Screeners to Measure Respondent Attention on Self-Administered Surveys: Which Items and How Many?,doi:10.7910/DVN/J2NDPP,"c(""Warshaw, Christopher"", ""Berinsky, Adam J."", ""Margolis, Michele F."", ""Sances, Michael W."")",Political Science Research and Methods (PSRM) Dataverse,Using screeners to measure respondent attention on self-administered surveys: which items and how many?,10.1017/psrm.2019.53,0
Replication Data for:  A Textual Taylor Rule: Estimating Central Bank Preferences Combining Topic and Scaling Methods,doi:10.7910/DVN/SGB8FE,"c(""Baerg, Nicole Rae"", ""Lowe, Will "")",Political Science Research and Methods (PSRM) Dataverse,A textual taylor rule: estimating central bank preferences combining topic and scaling methods,10.1017/psrm.2018.31,0
Brother or Burden: An Experiment on Reducing Prejudice Toward Syrian Refugees in Turkey,doi:10.7910/DVN/ORTDUM,"c(""Lazarev, Egor"", ""Sharma, Kunaal"")",Political Science Research and Methods (PSRM) Dataverse,Brother or burden: an experiment on reducing prejudice toward syrian refugees in turkey,10.1017/psrm.2015.57,0
Replication Data for: Addressing Endogeneity in Actor-Specific Network Measures,doi:10.7910/DVN/BKPIEV,"c(""Frederick J. Boehmke"", ""Olga Chyzh"", ""Cameron G. Thies"")",Political Science Research and Methods (PSRM) Dataverse,Addressing endogeneity in actor-specific network measures,10.1017/psrm.2015.34,0
Replication Data for: We Need to Go Deeper: Measuring Electoral Violence using Convolutional Neural Networks and Social Media,doi:10.7910/DVN/KFVTMI,"c(""Muchlinski, David"", ""Yang, Xiao"", ""Birch, Sarah"", ""Macdonald, Craig"", ""Ounis, Iadh"")",Political Science Research and Methods (PSRM) Dataverse,We need to go deeper: measuring electoral violence using convolutional neural networks and social media,10.1017/psrm.2020.32,0
Replication data for: Assessing the Correspondence between Experimental Results Obtained in the Lab and Field: A Review of Recent Social Science,doi:10.7910/DVN/25543,"c(""Coppock, Alexander"", ""Green, Donald P."")",Political Science Research and Methods (PSRM) Dataverse,Assessing the correspondence between experimental results obtained in the lab and field: a review of recent social science research,10.1017/psrm.2014.10,0.0229007633587787
Replication Data for: The Prevalence and Severity of Underreporting Bias in Machine and Human Coded Data,doi:10.7910/DVN/CFCZ2L,"c(""Bagozzi, Benjamin"", ""Brandt, Patrick"", ""Freeman, John"", ""Holmes, Jennifer"", ""Kim, Alisha"", ""Mendizabal, Agustin Palao"", ""Potz-Nielsen, Carly"")",Political Science Research and Methods (PSRM) Dataverse,The prevalence and severity of underreporting bias in machine- and human-coded data,10.1017/psrm.2018.11,0.0244428481768084
Replication data for: Candidate Confidence and Electoral Appeal: An Experimental Study of the Effect of Nonverbal Confidence on Voter Evaluations,doi:10.7910/DVN/26129,"c(""Dumitrescu, Delia"", ""Gidengil, Elisabeth"", ""Stol, Dietlind"")",Political Science Research and Methods (PSRM) Dataverse,Candidate confidence and electoral appeal: an experimental study of the effect of nonverbal confidence on voter evaluations,10.1017/psrm.2014.16,0
Replication data for: Government-Opposition or Left-Right? The Institutional Determinants of Voting in Legislatures,doi:10.7910/DVN/26530,"Hix, Simon",Political Science Research and Methods (PSRM) Dataverse,Government-opposition or left-right? The institutional determinants of voting in legislatures,10.1017/psrm.2015.9,0
Replication data for: Rooting Out Corruption or Rooting for Corruption? The Heterogeneous Electoral Consequences of Scandals.,doi:10.7910/DVN/26823,"c(""Fernandez-Vazquez, Pablo"", ""Barbera, Pablo"", ""Rivero, Gonzalo"")",Political Science Research and Methods (PSRM) Dataverse,Rooting out corruption or rooting for corruption? The heterogeneous electoral consequences of scandals,10.1017/psrm.2015.8,0.00323624595469263
Replication data for: Does Survey Participation Increase Voter Turnout? Re-examining the Hawthorne Effect in the Swedish National Election Studies,doi:10.7910/DVN/25300,"Persson, Mikael",Political Science Research and Methods (PSRM) Dataverse,Does survey participation increase voter turnout? Re-examining the hawthorne effect in the swedish national election studies,10.1017/psrm.2014.8,0
Replication Data for: How Face-to-Face Interviews and Cognitive Skill affect Item Non-response: A randomized experiment assigning mode of interview,doi:10.7910/DVN/FNG2TQ,"Vavreck, Lynn",Political Science Research and Methods (PSRM) Dataverse,How face-to-face interviews and cognitive skill affect item non-response: a randomized experiment assigning mode of interview,10.1017/psrm.2016.20,0
Replication Data for: Fixed Effects in Rare Events Data: A Penalized Maximum Likelihood Solution,doi:10.7910/DVN/H7QR3Q,"c(""Cook, Scott"", ""Hays, Jude"", ""Franzese, Rob"")",Political Science Research and Methods (PSRM) Dataverse,Fixed effects in rare events data: a penalized maximum likelihood solution,10.1017/psrm.2018.40,0
Replication Data for: Simulating Duration Data for the Cox Model,doi:10.7910/DVN/1YG7BI,"c(""Harden, Jeffrey J."", ""Kropko, Jonathan"")",Political Science Research and Methods (PSRM) Dataverse,Simulating duration data for the cox model,10.1017/psrm.2018.19,0
Replication data for: How Much of the Incumbency Advantage is Due to Scare-off?,doi:10.7910/DVN/27279,"c(""Hall, Andrew B."", ""Snyder, Jr., James M."")",Political Science Research and Methods (PSRM) Dataverse,How much of the incumbency advantage is due to scare-off?,10.1017/psrm.2014.43,0
Replication Data for Coalition governments and party competition: Political communication strategies of coalition parties,doi:10.7910/DVN/PZC0DM,"c(""Kluever, Heike"", ""Sagarzazu, Inaki"")",Political Science Research and Methods (PSRM) Dataverse,Coalition governments and party competition: political communication strategies of coalition parties,10.1017/psrm.2015.56,0.211184573002755
Replication Data for: Partisan Selective Exposure in Online News Consumption: Evidence from the 2016 Presidential Campaign,doi:10.7910/DVN/DEGC9Q,"Peterson, Erik",Political Science Research and Methods (PSRM) Dataverse,Partisan selective exposure in online news consumption: evidence from the 2016 presidential campaign,10.1017/psrm.2019.55,0
Partisan Imbalance in Regression Discontinuity Studies Based on Electoral Thresholds,doi:10.7910/DVN/23624,"c(""Snyder, James M., Jr."", ""Folke, Olle"", ""Hirano, Shigeo"")",Partisan Imbalance in Regression Discontinuity Studies Based on Electoral Thresholds Dataverse,The causal interpretation of estimated associations in regression models,10.1017/psrm.2019.31,0.249812445707968
Replication Data for: City Limits to Partisan Polarization in the American Public,doi:10.7910/DVN/JYKRGY,"c(""Marble, William"", ""Jensen, Amalie"", ""Scheve, Kenneth"", ""Slaughter, Matthew J."")",Political Science Research and Methods (PSRM) Dataverse,City limits to partisan polarization in the american public,10.1017/psrm.2020.56,0
Replication data for: Unequal We Fight: Between- and Within-Group Inequality and Ethnic Civil War,doi:10.7910/DVN/27201,"c(""Kuhn, Patrick M"", ""Weidmann, Nils B"")",Political Science Research and Methods (PSRM) Dataverse,Unequal we fight: between- and within-group inequality and ethnic civil war,10.1017/psrm.2015.7,0
Replication data for: Globalization and the Demand-Side of Politics. How globalization shapes labor market risk perceptions and policy preferences,doi:10.7910/DVN/27825,"Walter, Stefanie",Political Science Research and Methods (PSRM) Dataverse,Globalization and the demand-side of politics: how globalization shapes labor market risk perceptions and policy preferences,10.1017/psrm.2015.64,0.0053763440860215
Replication data for: Identifying the Effect of All-Mail Elections on Turnout: Staggered Reform in the Evergreen State,doi:10.7910/DVN/4QXBNS,"c(""Gerber, Alan"", ""Huber, Gregory"", ""Hill, Seth"")",Political Science Research and Methods (PSRM) Dataverse,Identifying the effect of all-mail elections on turnout: staggered reform in the evergreen state,10.1017/psrm.2013.5,0
"Replication Data for: ""Scraping public co-occurrences for statistical network analysis of political elites""",doi:10.7910/DVN/LYSP42,"Mahdavi, Paasha",Political Science Research and Methods (PSRM) Dataverse,Scraping public co-occurrences for statistical network analysis of political elites,10.1017/psrm.2017.28,0.00784313725490193
Replication Data for: Generalizing from Survey Experiments Conducted on Mechanical Turk: A Replication Approach,doi:10.7910/DVN/F1CFFM,"Coppock, Alexander",Political Science Research and Methods (PSRM) Dataverse,Generalizing from survey experiments conducted on mechanical turk: a replication approach,10.1017/psrm.2018.10,0
Replication Data for: Assessing the Impact of Non-Random Measurement Error on Inference: A Sensitivity Analysis Approach,doi:10.7910/DVN/VX59QI,"c(""Gallop, Max"", ""Weschle, Simon"")",Political Science Research and Methods (PSRM) Dataverse,Assessing the impact of non-random measurement error on inference: a sensitivity analysis approach,10.1017/psrm.2016.53,0
Replication Data for: Media Freedom and the Institutional Underpinnings of Political Knowledge,doi:10.7910/DVN/24122,"Schoonvelde, Martijn",Martijn  Schoonvelde Dataverse,Media freedom and the institutional underpinnings of political knowledge,10.1017/psrm.2013.18,0
Replication data for: Elections and Civil War in Africa,doi:10.7910/DVN/29280,"c(""Cheibub, Jose Antonio"", ""Hays, Jude"")",Political Science Research and Methods (PSRM) Dataverse,Elections and civil war in africa,10.1017/psrm.2015.33,0
Replication Data for: Political Representation and Effects of Municipal Mergers,doi:10.7910/DVN/SISHFP,"Tukiainen, Janne",Political Science Research and Methods (PSRM) Dataverse,Political representation and effects of municipal mergers,10.1017/psrm.2019.17,0
Replication data for: Explaining Fixed Effects: Random Effects modelling of Time-Series Cross-Sectional and Panel Data,doi:10.7910/DVN/23415,"c(""Bell, Andrew"", ""Jones, Kelvyn"")",Political Science Research and Methods (PSRM) Dataverse,Explaining fixed effects: random effects modeling of time-series cross-sectional and panel data,10.1017/psrm.2014.7,0.0789108187134503
Replication Data for: Quota Sampling Using Facebook Advertisements,doi:10.7910/DVN/XTXS4P,"c(""Zhang, Baobao"", ""Matto Mildenberger"", ""Peter D. Howe"", ""Jennifer Marlon"", ""Seth Rosenthal"", ""Anthony Leiserowitz"")",Political Science Research and Methods (PSRM) Dataverse,Quota sampling using facebook advertisements,10.1017/psrm.2018.49,0
The Shape of and Solutions to the MTurk Quality Crisis,doi:10.7910/DVN/FQPO0E,"c(""Kennedy, Ryan"", ""Clifford, Scott"", ""Burleigh, Tyler"", ""Waggoner, Philip"", ""Jewell, Ryan"", ""Winter, Nicholas"")",Political Science Research and Methods (PSRM) Dataverse,The shape of and solutions to the mturk quality crisis,10.1017/psrm.2020.6,0
"Replication Data for Platforms, Portfolios, Policy: How Audience Costs Affect Social Welfare Policy in Multiparty Cabinets",doi:10.7910/DVN/ULCSUG,"Alexiadou , Despina ",Political Science Research and Methods (PSRM) Dataverse,"Platforms, portfolios, policy: how audience costs affect social welfare policy in multiparty cabinets",10.1017/psrm.2018.2,0.214142725747985
Replication Data for Luck of the Draw? Members’ Bills & the Electoral Connection,doi:10.7910/DVN/EYVIDZ,"c(""Indridason, Indridi"", ""Williams, Brian"")",Political Science Research and Methods (PSRM) Dataverse,Luck of the draw? Private members' bills and the electoral connection,10.1017/psrm.2017.13,0.215569795947797
Replication Data for: Does Residential Sorting Explain Geographic Polarization?,doi:10.7910/DVN/EH8ZMX,"Martin, Gregory",Political Science Research and Methods (PSRM) Dataverse,Does residential sorting explain geographic polarization?,10.1017/psrm.2018.44,0
Replication Data for: Personality and Prosocial Behavior: A Multilevel Meta-Analysis,doi:10.7910/DVN/OBDQ3H,"c(""Kline, Reuben"", ""Kraft, Patrick"")",Political Science Research and Methods (PSRM) Dataverse,Personality and prosocial behavior: a multilevel meta-analysis,10.1017/psrm.2017.14,0
Replication Data for: Spatial Interdependence and Instrumental Variable Models,doi:10.7910/DVN/CZYUJH,"c(""Betz,Timm"", ""Cook, Scott J"", ""Hollenbach, Florian"")",Political Science Research and Methods (PSRM) Dataverse,Spatial interdependence and instrumental variable models,10.1017/psrm.2018.61,0
Globalization and Comparative Compositional Inequality,doi:10.7910/DVN/PC6CQC,"c(""Philips, Andrew Q."", ""Souza, Fl�vio D. S."", ""Whitten, Guy D."")",Political Science Research and Methods (PSRM) Dataverse,Globalization and comparative compositional inequality,10.1017/psrm.2019.25,0
Replication Data for: To Lag or Not to Lag? Re-evaluating the Use of Lagged Dependent Variables in Regression Analysis,doi:10.7910/DVN/UERKTM,"Wilkins, Arjun",Political Science Research and Methods (PSRM) Dataverse,To lag or not to lag?: re-evaluating the use of lagged dependent variables in regression analysis,10.1017/psrm.2017.4,0.00343642611683848
Enhancing Validity in Observational Settings When Replication is Not Possible,doi:10.7910/DVN/O2BK85,"c(""Fariss, Christopher"", ""Jones, Zachary"")",Political Science Research and Methods (PSRM) Dataverse,Enhancing validity in observational settings when replication is not possible,10.1017/psrm.2017.5,0
Replication Data for: Self-Selection and Misreporting in Legislative Surveys,doi:10.7910/DVN/KY4YAA,"c(""Bundi, Pirmin"", ""Varone, Fr�d�ric"", ""Gava, Roy"", ""Widmer, Thomas"")",Political Science Research and Methods (PSRM) Dataverse,Self-selection and misreporting in legislative surveys,10.1017/psrm.2016.35,0
Replication Data for: Voting for the Lesser Evil: Evidence from a Conjoint Experiment in Romania,doi:10.7910/DVN/MJKCHZ,"Visconti, Giancarlo",Political Science Research and Methods (PSRM) Dataverse,Voting for the lesser evil: evidence from a conjoint experiment in romania,10.1017/psrm.2019.12,0
Replication Data for: Which Matters Most: Party Strategic Exit or Voter Strategic Voting? A Laboratory Experiment,doi:10.7910/DVN/TPARSF,"c(""Bol, Damien"", ""Blais, Andr�"", ""Labb� St-Vincent, Simon"")",Political Science Research and Methods (PSRM) Dataverse,Which matters most: party strategic exit or voter strategic voting? A laboratory experiment,10.1017/psrm.2016.39,0
Replication Data for: Elites Tweet to get Feet off the Streets: Measuring Regime Social Media Strategies During Protest,doi:10.7910/DVN/AMYHNJ,"c(""Munger, Kevin"", ""Bonneau, Richard"", ""Nagler, Jonathan"", ""Tucker, Joshua A."")",Political Science Research and Methods (PSRM) Dataverse,Elites tweet to get feet off the streets: measuring regime social media strategies during protest,10.1017/psrm.2018.3,0
Inflated Expectations: How government partisanship shapes bureaucrats' inflation expectations,doi:10.7910/DVN/25730,"c(""Christopher Gandrud"", ""Cassandra Grafstrom"")",Political Science Research and Methods (PSRM) Dataverse,Inflated expectations: how government partisanship shapes monetary policy bureaucrats' inflation forecasts,10.1017/psrm.2014.34,0.103768806913241
Replication data for: Pivotality and Turnout: Evidence from a Field Experiment in the Aftermath of a Tied Election,doi:10.7910/DVN/24034,"Fowler, Anthony",Political Science Research and Methods (PSRM) Dataverse,Pivotality and turnout: evidence from a field experiment in the aftermath of a tied election,10.1017/psrm.2014.5,0
Replication Data for: How to increase turnout in low-salience elections. Quasi-experimental evidence on the effect of concurrent second-order elections on political participation,doi:10.7910/DVN/TJTZT2,"c(""Leininger, Arndt"", ""Rudolph, Lukas"", ""Zittlau, Steffen"")",Political Science Research and Methods (PSRM) Dataverse,How to increase turnout in low-salience elections: quasi-experimental evidence on the effect of concurrent second-order elections on political participation,10.1017/psrm.2016.38,0.00427350427350426
Replication data for: Natural Experiments Based on Geography,doi:10.7910/DVN/26498,"c(""Keele, Luke"", ""Titiunik, Rocio"")",Political Science Research and Methods (PSRM) Dataverse,Natural experiments based on geography,10.1017/psrm.2015.4,0
"Replication Data for: Recruiting Large Online Samples in the United States and India: Facebook, Mechanical Turk and Qualtrics",doi:10.7910/DVN/K6PRPG,"c(""Boas, Taylor"", ""Christenson, Dino"", ""Glick, David"")",Political Science Research and Methods (PSRM) Dataverse,"Recruiting large online samples in the united states and india: facebook, mechanical turk, and qualtrics",10.1017/psrm.2018.28,0.00320512820512819
"Replication data for: ""Don't Know"" Responses, Personality and the Measurement of Political Knowledge",doi:10.7910/DVN/29707,"Jessee, Stephen",Political Science Research and Methods (PSRM) Dataverse,"Don't know"""" responses, personality, and the measurement of political knowledge",10.1017/psrm.2015.23,0.0277236827869739
"Replication Data for: ""Estimating Crisis Signaling Games with Multiple Equilibria: Problems and Solutions""",doi:10.7910/DVN/1JBNDC,"c(""Crisman-Cox, Casey"", ""Gibilisco, Michael"")",Political Science Research and Methods (PSRM) Dataverse,Estimating signaling games in international relations: problems and solutions,10.1017/psrm.2019.58,0.230153345824988
Replication Data for: Descriptive Representation and Public Support for Supreme Court Nominees,doi:10.7910/DVN/QFWIHD,"c(""Stone, Andrew"", ""Kaslovsky, Jaclyn"", ""Rogowski, Jon"")",Political Science Research and Methods (PSRM) Dataverse,Descriptive representation and public support for supreme court nominees,10.1017/psrm.2019.59,0
"Replication Data for: Rivals Within: Political Factions, Loyalty, and Elite Competition under Authoritarianism",doi:10.7910/DVN/5EBK7S,"c(""Hong, Ji Yeon"", ""Chen, Ting"")",Political Science Research and Methods (PSRM) Dataverse,"Rivals within: political factions, loyalty, and elite competition under authoritarianism",10.1017/psrm.2019.61,0
Replication Data for: Endogenous Democracy: Causal Evidence from the Potato Productivity Shock in the Old World,doi:10.7910/DVN/OZEQ77,"c(""Barcelo, Joan"", ""Rosas, Guillermo"")",Political Science Research and Methods (PSRM) Dataverse,Endogenous democracy: causal evidence from the potato productivity shock in the old world,10.1017/psrm.2019.62,0
Replication Data for: Longevity Returns to Political Office,doi:10.7910/DVN/IBKYRX,"c(""Barfort, Sebastian"", ""Klemmensen, Robert"", ""Larsen, Erik Gahner"")",Political Science Research and Methods (PSRM) Dataverse,Longevity returns to political office,10.1017/psrm.2019.63,0
Replication Data for: Disproportionality in media representations of campaign negativity,doi:10.7910/DVN/DF9UXB,"c(""Nyhuis, Dominic"", ""Song, Hyunjin"", ""Boomgaarden, Hajo"")",Political Science Research and Methods (PSRM) Dataverse,Disproportionality in media representations of campaign negativity,10.1017/psrm.2020.4,0
Replication Data for:Estimating slim-majority effects in US state legislatures with a regression discontinuity design under local randomization assumptions,doi:10.7910/DVN/UCW2RY,"De Magalhaes, Leandro",Political Science Research and Methods (PSRM) Dataverse,Estimating slim-majority effects in us state legislatures with a regression discontinuity design under local randomization assumptions,10.1017/psrm.2020.5,0
"Replication Data for: Extreme Districts, Moderate Winners: Same-Party Challenges and Deterrence in Top-Two Primaries",doi:10.7910/DVN/GOWSAQ,"Crosson, Jesse",Political Science Research and Methods (PSRM) Dataverse,"Extreme districts, moderate winners: same-party challenges, and deterrence in top-two primaries",10.1017/psrm.2020.7,0.00350877192982457
Replication Data for: Shared Interests Foster Interethnic Cooperation Among Politicians,doi:10.7910/DVN/WMIMSW,"c(""Butler, Daniel"", ""Tavits, Margit"")",Political Science Research and Methods (PSRM) Dataverse,Shared interests foster interethnic cooperation among politicians,10.1017/psrm.2019.60,0
"Replication Data for ""Does Social Media Promote Civic Activism? A Field Experiment with a Civic Campaign""",doi:10.7910/DVN/0BPVCH,"c(""Foos, Florian"", ""Kostadinov, Lyubomir"", ""Marinov, Nikolay"", ""Schimmelfennig, Frank"")",Political Science Research and Methods (PSRM) Dataverse,Does social media promote civic activism? A field experiment with a civic campaign,10.1017/psrm.2020.13,0.215292295780101
Replication Data for: Electoral Reforms and the Representativeness of Turnout,doi:10.7910/DVN/LWXXAM,"c(""Bechtel, Michael"", ""Schmid, Lukas"")",Political Science Research and Methods (PSRM) Dataverse,Electoral reforms and the representativeness of turnout,10.1017/psrm.2020.20,0
Replication Data for: The Role of Affective Orientations in Promoting Perceived Polarization,doi:10.7910/DVN/H6GG8O,"c(""Armaly, Miles"", ""Enders, Adam"")",Political Science Research and Methods (PSRM) Dataverse,The role of affective orientations in promoting perceived polarization,10.1017/psrm.2020.24,0
Do Natural Disasters Help the Environment? How Voters Respond and What That Means,doi:10.7910/DVN/ITVLIK,"c(""Leemann, Lucas"", ""Baccini, Leonardo"")",Political Science Research and Methods (PSRM) Dataverse,Do natural disasters help the environment? How voters respond and what that means,10.1017/psrm.2020.25,0
Replication Data for Crisis Signaling: How Italy’s Coronavirus Lockdown Affected Incumbent Support in Other European Countries,doi:10.7910/DVN/LIYJ78,"c(""De Vries, Catherine"", ""Bakker, Bert"", ""Hobolt, Sara"", ""Arceneaux, Kevin"")",Political Science Research and Methods (PSRM) Dataverse,Crisis signaling: how italy's coronavirus lockdown affected incumbent support in other european countries,10.1017/psrm.2021.6,0.220029507529508
Estimating Logit Models with Small Samples,doi:10.7910/DVN/6XS8Z1,"c(""Rainey, Carlisle"", ""Kelly McCaskey"")",Political Science Research and Methods (PSRM) Dataverse,Estimating logit models with small samples,10.1017/psrm.2021.9,0
Replication data for: Should I Use Fixed or Random Effects?,doi:10.7910/DVN/25588,"c(""Clark, Tom S."", ""Linzer, Drew A."")",Political Science Research and Methods (PSRM) Dataverse,Should i use fixed or random effects?,10.1017/psrm.2014.32,0
"Replication Data for: ""Comparing Strategies for Estimating Constituency Opinion from National Survey Samples""",doi:10.7910/DVN/IVNNBK,"c(""Hanretty, Chris"", ""Lauderdale, Ben"", ""Vivyan, Nick"")",Political Science Research and Methods (PSRM) Dataverse,Comparing strategies for estimating constituency opinion from national survey samples,10.1017/psrm.2015.79,0.00766283524904221
